,ID,Name,ABV,Style,Is Retired
92,lDDTXD,Ryeday the 13th,5.5,Hybrid/mixed Beer,N
93,RsGMGn,Festive Ale,8.5,Hybrid/mixed Beer,N
94,JUjEnp,Miller Chill,4.1,North American Lager,N
95,5stK34,Wookie Down,7.6,North American Origin Ales,N
96,hImGQV,Braupakt,6,German Origin Ales,N
97,he3yMK,Nooner Pilsner,5.2,North American Lager,N
98,5iehRZ,Fusion 30,7.1,Belgian And French Origin Ales,N
99,WCKkkd,Now You Know,6.1,North American Origin Ales,N
100,BnYgKN,Dragon's Milk Reserve with Vanilla Chai,11,North American Origin Ales,N
101,1LvpyW,Drink This IPA,6.1,North American Origin Ales,N
102,PRRZBx,Brass & Blues,6.4,Belgian And French Origin Ales,N
103,G5Uxww,Single Hop El Dorado Session IPA,4.6,North American Origin Ales,N
104,YmuNgG,Tasmanian Hatter,7,North American Origin Ales,N
105,lPKfmK,Trip In The Woods Barrel Aged Narwhal w/Red & Black Currents,9.8,North American Origin Ales,N
106,DwfEan,Dragon's Milk Reserve: Raspberry Lemon,11,Hybrid/mixed Beer,N
107,7i1hXo,Ovila Abbey Saison,7.5,Belgian And French Origin Ales,N
108,nF8WBb,Cuvée Mam'zelle,8.5,Belgian And French Origin Ales,N
109,kzMoR5,Wild Thang,5,North American Origin Ales,N
110,tLwMOd,Black Brew Bae,6.4,North American Origin Ales,N
111,IAP9Ye,Huckleberry Cream Ale,5.5,Hybrid/mixed Beer,N
112,Cj5RaA,Great Pumpkin,5.5,Hybrid/mixed Beer,N
113,eueVi6,Beer Camp: Dunkle Weisse,5.7,German Origin Ales,N
114,dS3WFU,Barrel Aged Chaka (Merlot),8,Belgian And French Origin Ales,N
115,vkoim1,Wicked Wheat IPA ,5.6,North American Origin Ales,N
116,eI5fN2,New Dogtown Pale Ale,6.2,North American Origin Ales,N
117,wRkDGh,Barrel Aged 471 IPA. Aggressive Hoppiness,9.2,North American Origin Ales,N
118,8lmndo,Sweetwater Donkey Punch!,10.2,North American Origin Ales,N
119,z71HIM,Sierra Nevada Torpedo Cask,7.2,North American Origin Ales,N
120,8lo5KQ,Dragon's Milk Reserve: Mexican Spice Cake,11,North American Origin Ales,N
121,peyS4P,Harvest Single Hop IPA - Equinox Hops,6.5,North American Origin Ales,N
122,4eYvNS,TuberFest,7.5,North American Lager,N
123,8qafAu,Golden Ale,4.5,North American Origin Ales,N
124,Oawv0J,Hatchery series #4 Chocolate Milk Stout,5.4,British Origin Ales,N
125,fOFhEa,Hotbox Coffee Porter,6.5,British Origin Ales,N
126,K6s9S1,Smoke on The Water,7,Hybrid/mixed Beer,N
127,UTh8Gm,Dragon’s Milk Reserve: Mocha Mint,11,North American Origin Ales,N
128,MdlspB,Vienna Lager,4.7,European-germanic Lager,N
129,1HeKZM,Oatmeal Stout - Beer Camp #45,9,British Origin Ales,N
130,GCDyUs,Silent Night,11,Belgian And French Origin Ales,Y
131,G5Uxww,Single Hop El Dorado Session IPA,4.6,North American Origin Ales,N
132,FxxNhs,Snow Cone IPA,7,North American Origin Ales,N
133,t0iVWe,Fresh Hops of Bel-Air,5.5,North American Origin Ales,N
134,OPM4t8,Mt. Takhoma Blonde Ale,3.8,Belgian And French Origin Ales,N
135,Wemgbs,Imperial Black IPA,7.3,North American Origin Ales,N
136,dM2XzJ,Ovila Abbey Aged Dubbel,8.5,Belgian And French Origin Ales,N
137,dFaMLe,Dry-Hopped Censored Ale,6.7,Hybrid/mixed Beer,N
138,CScss3,Yonder Bock - Beer Camp Across America,7.7,European-germanic Lager,N
139,pkEofb,Black Cat Porter,5.2,British Origin Ales,N
140,Yzokxa,Harp Premium Imported Lager,4.5,North American Lager,N
141,kzMoR5,Wild Thang,5,North American Origin Ales,N
142,Zd8Cxd,American Summer Hoppy Wit,6,Belgian And French Origin Ales,N
143,1EDyEY,Smaug's Breath,11,British Origin Ales,N
144,onllb0,Station 3,5.7,German Origin Ales,N
145,CScss3,Yonder Bock - Beer Camp Across America,7.7,European-germanic Lager,N
146,7SC2N0,Southern Hemisphere Session IPA,4.6,North American Origin Ales,N
147,QCvO04,Why Not?,6.5,Belgian And French Origin Ales,N
148,5ntmM9,Holidale,7.4,Hybrid/mixed Beer,N
149,1cLpJP,Beerito,4,European-germanic Lager,N
150,C0Ax0o,Holiday Haze,6.5,North American Origin Ales,N
151,QSwjKh,Twisted Cedar,5.8,British Origin Ales,N
152,jIKwgZ,420 Strain G13 IPA,6,North American Origin Ales,N
153,lWygSS,471 Double IPA - Hull Melon,9.2,North American Origin Ales,N
154,qGhR1j,Bud Ice,5.5,North American Lager,N
155,HmjnXt,Born Again Yesterday,7.5,North American Origin Ales,N
156,IRIveF,Four Hopsmen - Hop Head Farms Eperimental Dry Hopped,5.2,North American Origin Ales,N
157,5dbIgo,Twisted Fish,5.3,International Styles,N
158,CWwxeR,Lucky 13,8.3,North American Origin Ales,N
159,oC1Ux4,Imperial Stout (Fudge And Sickle),9.9,North American Origin Ales,N
160,qxNOIk,Milk Stout,5.8,British Origin Ales,N
161,C0Ax0o,Holiday Haze,6.5,North American Origin Ales,N
162,lrTDM4,Torikumi,7.5,North American Origin Ales,N
163,J9xszw,Guinness Foreign Extra,7.5,Irish Origin Ales,N
164,ZJJ8yY,Dragon's Milk Reserve: Cherry Chocolate,11,North American Origin Ales,N
165,Me6YnI,Wheat Wine,11.5,North American Origin Ales,N
166,XJ7ZBB,SweetWater SchWheat,4.9,Hybrid/mixed Beer,Y
167,YmuNgG,Tasmanian Hatter,7,North American Origin Ales,N
168,ja4TBb,Black Mamba,6,German Origin Ales,N
169,JOxnlJ,Hop Dog Harvest Pale Ale,6.2,North American Origin Ales,N
170,onllb0,Station 3,5.7,German Origin Ales,N
171,Du7C2e,Black Tulip,8.8,Belgian And French Origin Ales,N
172,35wxef,Extra Stout,5.3,Irish Origin Ales,N
173,UmJ5Wm,Pecan Porter,8,British Origin Ales,N
174,7gKo41,Grizzly Imperial Pale Ale,8.1,North American Origin Ales,N
175,qGDeH1,2 x 4,8.7,Belgian And French Origin Ales,N
176,XeZfaD,T.L.A. I.P.A.,5.7,North American Origin Ales,N
177,zqS7ze,Bigfoot,9.6,North American Origin Ales,N
178,4zruzt,Bud Light Golden Wheat,4.1,Belgian And French Origin Ales,N
179,4neIJi,Saison Dans La Maison ,5.6,Belgian And French Origin Ales,N
180,si7pxG,IPA,5.6,North American Origin Ales,N
181,xdvDOQ,Imperial White IPA - Brewery Lane Series,9,North American Origin Ales,N
182,iypGyz,Wet Hopped American Summer,4.8,Hybrid/mixed Beer,N
183,eEWCFd,Lucky U IPA,6.2,North American Origin Ales,N
184,lDDTXD,Ryeday the 13th,5.5,Hybrid/mixed Beer,N
185,BceaoL,Hummer,5.1,Belgian And French Origin Ales,N
186,1qx64W,Shamrock'n Rye Ale,6.6,Hybrid/mixed Beer,N
187,epip51,Long Steam IPA,5.8,North American Origin Ales,N
188,xMjKhw,Wintertide Ale,6,Hybrid/mixed Beer,N
189,4zruzt,Bud Light Golden Wheat,4.1,Belgian And French Origin Ales,N
190,9HcWSd,Bigfoot,9.6,North American Origin Ales,N
191,T64OoT,Trip In the Woods Biere De Garde,9.8,Belgian And French Origin Ales,N
192,ja4TBb,Black Mamba,6,German Origin Ales,N
193,eEWCFd,Lucky U IPA,6.2,North American Origin Ales,N
194,svXHfu,A Little Sumpin' Sumpin',7.5,North American Origin Ales,N
195,dnUKxu,Chocolate Chili Stout - High Altitude Series,8.8,North American Origin Ales,N
196,fyj05b,Black IPA,6.9,North American Origin Ales,N
197,oBponF,Oculto,6,North American Lager,N
198,SjPBgM,Russ' Revival,5.3,North American Lager,N
199,VFG5pL,GnarlyWine,10.6,North American Origin Ales,N
200,dmVTls,Winter Saison,5.3,Belgian And French Origin Ales,N
201,pOk8tL,The 1759,9,North American Origin Ales,N
202,SDUD8m,King Cobra,6,North American Lager,N
203,FVFucy,Fresh Hop Double IPA,8,North American Origin Ales,N
204,2mfXU8,Little Bohemia,5.3,Hybrid/mixed Beer,N
205,dM2XzJ,Ovila Abbey Aged Dubbel,8.5,Belgian And French Origin Ales,N
206,4zruzt,Bud Light Golden Wheat,4.1,Belgian And French Origin Ales,N
207,ISTT06,2017 Beer Camp,6.5,North American Origin Ales,N
208,CZn6nT,Pale Ale,5.6,North American Origin Ales,N
209,EzaTJ3,Runway IPA,6.2,International Ale Styles,N
210,yh28GV,Sakitumi,9,Hybrid/mixed Beer,N
211,zD2FYX,Hefeweizen,4,German Origin Ales,N
212,3zb9Gq,Ovila Dubbel,7.5,Belgian And French Origin Ales,N
213,whHlqc,Maillard's Odyssey - Beer Camp Across America,8.5,North American Origin Ales,N
214,1EDyEY,Smaug's Breath,11,British Origin Ales,N
215,qPgNWv,Tripper Noche,12.1,North American Origin Ales,N
216,0tWTUV,Tmavé,5.4,European-germanic Lager,N
217,1XAbSf,Foam Pilsner,5.6,North American Lager,N
218,UTh8Gm,Dragon’s Milk Reserve: Mocha Mint,11,North American Origin Ales,N
219,n8itvA,Maillard's Odyssey,8.5,North American Origin Ales,N
220,QtA7tb,Betsy's Revenge,4.5,Hybrid/mixed Beer,N
221,8lmndo,Sweetwater Donkey Punch!,10.2,North American Origin Ales,N
222,wRkDGh,Barrel Aged 471 IPA. Aggressive Hoppiness,9.2,North American Origin Ales,N
223,P8KXUd,Single Hop Amarillo IPA,6.7,North American Origin Ales,N
224,bp7TkJ,HotSide Sour Mashed DayTime,4.65,Hybrid/mixed Beer,N
225,fOFhEa,Hotbox Coffee Porter,6.5,British Origin Ales,N
226,bTNGkO,Experimental Hop Session IPA,4.6,North American Origin Ales,N
227,PSRi4b,Electric Ray,8.5,North American Origin Ales,N
228,Pb4Zwl,Thunder Stout,4.95,North American Origin Ales,N
229,zGsXaD,Harvest Single Hop Mandarina Hops,6.5,North American Origin Ales,N
230,7x2tzn,Kölsch TEST DUMMIES,6.4,Hybrid/mixed Beer,N
231,Yjd19k,Bottle Rocket IPA,6.5,North American Origin Ales,N
232,lWygSS,471 Double IPA - Hull Melon,9.2,North American Origin Ales,N
233,zDUkcd,Lost Dune,5.5,Hybrid/mixed Beer,N
234,JzAHi3,Hatchery Series #5 - NE Style IPA,7.5,North American Origin Ales,N
235,2FgZ04,Mountain Series: Salted Caramel Brown,6.5,North American Origin Ales,N
236,x3ijRg,Dank Tank: Some Strange II Black IPA,10,North American Origin Ales,N
237,HIuMUM,Antwerpen Stout,8,British Origin Ales,N
238,WFT0UY,Scare City 4 Imperial Wheat Wine,9.7,North American Origin Ales,N
239,8ftXVJ,Six Grain Harvest Lager (Batch No. 63118),5.5,North American Lager,N
240,G2Vi1J,Budweiser Select,4.3,North American Lager,N
241,7iFx4r,Beer Camp Across America,8.6,North American Origin Ales,N
242,onllb0,Station 3,5.7,German Origin Ales,N
243,llmv40,Golden IPA,5.9,North American Origin Ales,N
244,ajbd6g,35th Anniversary  - Brewer's Reserve,8,British Origin Ales,N
245,8zibUO,Imperial Red Ale,7.6,Irish Origin Ales,N
246,onllb0,Station 3,5.7,German Origin Ales,N
247,Q5y7v5,Oktoberfest,6,North American Lager,N
248,dNnIWw,Kate The Great Russian Imperial Stout,9.5,North American Origin Ales,N
249,AVcFA8,Imperial Pecan Porter,9,North American Origin Ales,N
250,Y9X4cN,Pat-Rye-Ot,5.6,North American Origin Ales,N
251,trEROu,Good Game,11,Belgian And French Origin Ales,N
252,EqgmWc,Year of the Dog - Release #1,7.2,North American Origin Ales,N
253,mrLL4r,Jack's Pumpkin Spice Ale,5.5,Hybrid/mixed Beer,N
254,1P45iR,Budweiser,5,North American Lager,N
255,dimtrs,Bud Light,4.2,North American Lager,N
256,oRKnzw,Ten Fidy - Bulleit Bourbon Barrel Aged,11,North American Origin Ales,N
257,LfwcEu,Sugarshack Saison,5.1,Belgian And French Origin Ales,N
258,QJZFnY,The Pit & The Pendulum with Cherries,6.1,Hybrid/mixed Beer,N
259,ZVmIsO,Golden Flash,5.7,British Origin Ales,N
260,dODEDo,Spruce Beersteen,6,North American Origin Ales,N
261,otVuwu,Purebred A.P.A. Citra,6.2,North American Origin Ales,N
262,xlOpbL,The Hairy Eyeball,8.8,North American Origin Ales,N
263,eueVi6,Beer Camp: Dunkle Weisse,5.7,German Origin Ales,N
264,CRw8Gu,Brown Eyed Buckeye,8.6,North American Origin Ales,N
265,BnYgKN,Dragon's Milk Reserve with Vanilla Chai,11,North American Origin Ales,N
266,oC1Ux4,Imperial Stout (Fudge And Sickle),9.9,North American Origin Ales,N
