ID,Name,ABV,Style,Is Retired
5iehRZ,Fusion 30,7.1,Belgian And French Origin Ales,N
5LHS1h,Hefeweizen,4.2,German Origin Ales,N
5LwuwE,Bob White,5,Belgian And French Origin Ales,N
5MX880,5 C's IPA,6.5,North American Origin Ales,N
5ntmM9,Holidale,7.4,Hybrid/mixed Beer,N
5ON8OO,Bulleit Bourbon Ten Fidy,11,Irish Origin Ales,N
5pJqvf,Willett Bourbon Barrel Aged Imperial Stout,11.5,North American Origin Ales,N
5stK34,Wookie Down,7.6,North American Origin Ales,N
5ue4ah,Summerfest,5,North American Lager,N
60GVov,Well Built E.S.B.,7.8,British Origin Ales,N
655f2d,Wicket IPA,5.4,British Origin Ales,N
65zNUD,Two Hats Lime,4.2,North American Lager,N
69R1Vd,G'Knight,8.7,North American Origin Ales,N
69tWZj,Dank Tank Ghoulash,8.5,North American Origin Ales,N
69Yqbc,Mozango,7.7,North American Origin Ales,N
6AcqY6,Agave Wheat,5.9,Hybrid/mixed Beer,N
6DAt6F,Ten FIDY Stranahans Bourbon Barrel Aged,10.5,North American Origin Ales,N
6f6SpY,Das Bij,5.6,Belgian And French Origin Ales,N
6fJQfz,Fils À Papa V,8.5,Belgian And French Origin Ales,N
6gFiUn,Dank Tank Border Hopper,8.6,North American Origin Ales,N
6jvc3G,Waterkeeper,6,German Origin Ales,N
6mTebP,Beer Camp Golden IPA,6.5,North American Origin Ales,N
798rjW,Oh Saisonna,8.3,Belgian And French Origin Ales,N
7aeVlx,Redbridge,4,Hybrid/mixed Beer,N
7aZN1V,Plum Gose,4.5,German Origin Ales,N
7BGyan,Fuzzworthy,5.9,North American Origin Ales,N
7bnlRC,Rye Cocoa Porter - ScareCity #2,10.2,North American Origin Ales,N
7dkC8e,Deviant Dale’s,8,North American Origin Ales,N
7faCP2,Rum Barrel-Aged Ten Fidy,14.7,North American Origin Ales,N
7gKo41,Grizzly Imperial Pale Ale,8.1,North American Origin Ales,N
7GLf2A,The White Buffalo,6,North American Origin Ales,N
7HHwqy,Hop Hash,7.8,North American Origin Ales,N
7i1hXo,Ovila Abbey Saison,7.5,Belgian And French Origin Ales,N
7iFx4r,Beer Camp Across America,8.6,North American Origin Ales,N
7IjJ76,Vienna,5.3,European-germanic Lager,N
7SC2N0,Southern Hemisphere Session IPA,4.6,North American Origin Ales,N
7Yytym,Wilco Tango Foxtrot,7.8,North American Origin Ales,N
7z8RTq,3 Weight,4,North American Origin Ales,N
7zuKpR,Philly Tripel Plan B,8,Belgian And French Origin Ales,N
8ftXVJ,Six Grain Harvest Lager (Batch No. 63118),5.5,North American Lager,N
8lmndo,Sweetwater Donkey Punch!,10.2,North American Origin Ales,N
8lo5KQ,Dragon's Milk Reserve: Mexican Spice Cake,11,North American Origin Ales,N
8LowIZ,Guinness Nitro IPA,5.8,North American Origin Ales,N
8M5lCq,30th Anniversary - Jack & Ken's Ale,10.2,North American Origin Ales,Y
8MMa77,Bud Dry,5,North American Lager,N
8pAabO,CitruSinensis,7.9,North American Origin Ales,N
8qafAu,Golden Ale,4.5,North American Origin Ales,N
8rc5kA,Wachusetts IPA,5.6,North American Origin Ales,N
8SiLJi,Barrel Aged Imperial Cherry Stout,9.5,North American Origin Ales,N
8TQNbT,Spinner,5.6,North American Origin Ales,N
8Ug3hm,Oxford Education,7.3,British Origin Ales,N
8ugUQF,Audition - Belgian-Style Pale Ale,5.3,Belgian And French Origin Ales,N
8vbUYR,Session Rye,4.5,Hybrid/mixed Beer,N
8zibUO,Imperial Red Ale,7.6,Irish Origin Ales,N
907FUe,Fugli,5.8,North American Origin Ales,N
932XO8,Blueberry Ale,4.5,Hybrid/mixed Beer,N
9BJRbZ,Smithwick's Premium Red Ale,4.5,Irish Origin Ales,N
9bNjNs,Old Chub Nitro,8,British Origin Ales,N
9cqNKc,Georgia Brown,5.8,North American Origin Ales,N
9HcWSd,Bigfoot,9.6,North American Origin Ales,N
9LnbQj,Willettized Coffee Stout,11.7,North American Origin Ales,N
9nXV0D,Dank Tank The Price is Wrong,9,Belgian And French Origin Ales,N
9OyQXs,California Black Beer,4.9,North American Lager,N
9Qr0BU,Narwhal Tawny Port Barrel Aged,11.4,North American Origin Ales,N
9RNMJQ,The Gimp,10.3,British Origin Ales,N
9UUKMj,Holiday Leftovers Ale,7.6,Hybrid/mixed Beer,N
9XJBp9,Narconaut,6.6,North American Origin Ales,N
9YCuGj,Bearsharktopus,6,Belgian And French Origin Ales,N
9Ylplt,Fistful of Hops,6.2,North American Origin Ales,N
a1DUfG,Cool Breeze,4.9,Belgian And French Origin Ales,N
a29mU4,Little Birdy,6.9,North American Origin Ales,N
a5LtHp,Sacramento Beer Week Beer,9,Hybrid/mixed Beer,N
a8u4ic,Yvan The Great - Beer Camp Across America,6.3,Belgian And French Origin Ales,N
a9reE2,Waldo's Special Ale,11.5,North American Origin Ales,N
aabOus,DogZilla Black IPA,6.9,North American Origin Ales,N
AAdvVo,Hop House Lager,5,North American Lager,N
ABAHdk,Deuce,7,North American Origin Ales,N
Abbvjh,Bud Light Apple,4.2,North American Lager,N
ABoSrf,The Waldos’ Special Ale (2018),11.3,North American Origin Ales,N
aBYXhp,Porter Porter,7.5,British Origin Ales,Y
AC98pm,Earth Day EPA,5.2,British Origin Ales,N
AdHXWs,Imperial Pils,8.6,North American Lager,N
ADXvig,Oktober-Fiesta,5.5,North American Lager,N
AEFy0R,Boomerang,6.7,North American Origin Ales,N
afK7hW,Honey Blonde,5.2,North American Origin Ales,N
AFNvz4,Bigfoot (2018),9.6,North American Origin Ales,N
aG4Ie2,Alpha Dog Imperial IPA,8.5,North American Origin Ales,N
AI17Hf,Fumble Brewski,4.5,North American Lager,N
ajbd6g,35th Anniversary  - Brewer's Reserve,8,British Origin Ales,N
AJwGIV,Peach IPA,5.8,North American Origin Ales,N
akZCc6,Rompo Red Rye (Dickel),5.2,Hybrid/mixed Beer,N
AlRuKw,Ovila Quad,10.5,Belgian And French Origin Ales,N
Api83U,Scare City 1,7.5,North American Lager,N
aPMdQj,Pimp My Ride,7.8,North American Origin Ales,N
AQE3Sx,Summer Session,5,Hybrid/mixed Beer,N
ARoWVg,Dank Tank Old Man Johnson's Farm,9.6,North American Origin Ales,N
aSdzxF,Ten FIDY (2016),10.5,North American Origin Ales,N
ATFslo,Sweet Sunny South,4.9,Belgian And French Origin Ales,N
Au0v9G,A Little Sumpin' Extra,8.7,North American Origin Ales,N
AVcFA8,Imperial Pecan Porter,9,North American Origin Ales,N
avUZok,Ground Score,7.1,North American Origin Ales,N
AWdfjO,Priscilla,5.2,Belgian And French Origin Ales,N
aWUHyv,Mozango (Fusion XXXI),9,North American Origin Ales,N
AXkM1P,New England IPA,7.5,North American Origin Ales,N
AY6Jg8,Point Defiance IPA,6.1,North American Origin Ales,N
AZgmir,Barrel-Aged Hoptimum  (Trip in the Woods),11.5,North American Origin Ales,N
aztnLa,Bigfoot,9.6,North American Origin Ales,N
B0vbr1,Night Wish,10.5,North American Origin Ales,N
b601KW,Hazy Little Thing,6.7,North American Origin Ales,N
b65A4y,Fusion 9,5.5,North American Origin Ales,N
b6nCMj,Anniversary Ale,3.8,North American Origin Ales,N
